record_id,combined_text_raw,symptom_text,cause_text,action_text,asset_text,fault_class_text
INC00059359,le gasoil du quadro2 aspire tres lentement besoin d un controle debit en super sur cette meme quadro nettoyage des filtres des pompes gasoil remplacement courroie gasoil 1 controle debits pompes super et reglage super 4 a 3,besoin d un controle debit en super,,controle debits,filtre; pompe; courroie,dispenser related issue
INC00063878,afficheur litrage et prix gasoil defectueux pompe duo 2 remplacement afficheurs defectueux essais ok,afficheur litrage et prix gasoil defectueux,,remplacement afficheur,pompe; afficheur,dispenser related issue
INC00071825,la pompe super 3 super4 ne sert pas verifications et remplacement de la courroie,la pompe ne sert pas,,remplacement courroie,pompe; courroie,dispenser related issue
INC00070715,le flexible de la pompe super 4 est defectueux et laisse couler le carburant pose dun flexible pompe remise en service,le flexible de la pompe super est defectueux et laisse couler le carburant,,remplacement flexible,flexible,dispenser related issue
INC00087353,flexible kerobar d huile vrac perce urgence svp flexible remplace,flexible kerobar d huile vrac perce,,remplacement flexible,flexible huile; kerobar,car service related issue
INC00088770,probleme de connexion internet oasis communication retablie entre le fcc le doms et la baie informatique,probleme de connexion internet oasis,,retablie la communication entre le fcc le doms et la baie informatique,fuelpos,pos related issue
INC00051229,debit lent des pistolets g1 g2 g3 et g4 absence de la programmation des pistolets g1 pet s1 et s5 le seuil des services en continu des pistolets est inferieur a 600 litres verifications et nettoyage des filtres,debit lent des pistolets,,verifications des filtres,filtre,dispenser related issue
INC00060103,les 2 volucompteurs sont en panne le pistolets ne cessent pas automatiquement arret avant la fin de service message d erreur remplacement des becs pistolets defectueux essais ok,le pistolets ne cessent pas automatiquement,des becs pistolets defectueux,remplacement bec pistolet,pistolet pompe; bec pistolet,dispenser related issue
INC00055621,pompe gasoil debit trop lent necessite d une pompe a haut debit ou verifier la tuyauterie cdt merci debit lent suite a un probleme de tuyauterie interventions sur le clapet de cuve essai pompe et observations,pompe debit lent,probleme sur le clapet de cuve,intervention sur le clapet de cuve,clapet cuve,dispenser related issue
INC00071503,portillon de fermeture pompes 2 et 3 defectueux remplacement des serrures sur portillons des pompes 2 et 3 essais ok,portillon de fermeture pompes defectueux,,remplacement des serrures,serrure; pompe; portillon,dispenser related issue
